,location,bath,balcony,price,BuiltUp_Area,Plot_Area,Carpet_Area,BedRoom,With_Hall_Kitchen,Final_sqft
220,Sarjapur  Road,3,2,125.0,1,0,0,3,1,1787.0
221,Koramangala,2,3,90.0,1,0,0,3,1,1475.0
222,"Lakshminarayanapura, Electronic City Phase 2",4,1,75.5,1,0,0,4,1,2000.0
223,Sarjapur  Road,2,1,44.28,1,0,0,2,1,984.0
224,Devanahalli,3,0,74.82,1,0,0,3,1,1630.0
225,Muthurayya Swamy Layout,4,2,260.0,1,0,0,3,1,2405.0
226,7th Phase JP Nagar,2,2,72.0,1,0,0,2,1,1080.0
227,Shantiniketan Layout,2,1,115.0,0,1,0,2,0,1500.0
228,Hebbal,3,2,119.0,1,0,0,3,1,1900.0
229,Dommasandra,2,1,22.14,1,0,0,2,1,805.0
230,Budigere,2,2,56.4,1,0,0,2,1,1153.0
231,Dodda Nekkundi Extension,2,2,60.0,1,0,0,2,1,1148.0
232,Mylasandra,2,2,55.0,1,0,0,2,1,1110.0
233,Electronic City,2,2,42.0,1,0,0,2,1,1100.0
234,Kalyan nagar,2,2,110.0,1,0,0,2,1,1290.0
235,Dr Shivarama Karantha Nagar,2,1,65.0,1,0,0,3,1,1500.0
236,Bank Of Baroda Colony,2,2,39.0,1,0,0,2,1,1080.0
237,Vijayanagar,3,1,129.0,1,0,0,3,1,1933.0
238,Ramamurthy Nagar,5,2,150.0,1,0,0,5,0,3500.0
239,Kullappa Colony,2,2,60.0,1,0,0,2,1,1060.0
240,Chandapura,1,1,16.45,1,0,0,1,1,645.0
241,Mukkutam Nagar,8,2,180.0,0,1,0,8,0,2600.0
242,Chandapura,1,1,16.45,1,0,0,1,1,645.0
243,Ashwath Nagar,3,3,84.0,1,0,0,3,1,1644.0
244,Ncpr Industrial Layout,2,3,72.5,1,0,0,2,1,1285.0
245,Electronic City,3,1,90.0,0,1,0,3,0,1200.0
246,Electronic City,2,1,40.0,1,0,0,2,1,910.0
247,Kothanur,3,1,70.0,1,0,0,3,1,1577.0
248,Meenakunte,3,2,280.0,0,1,0,3,0,4050.0
249,OMBR Layout,3,2,185.0,1,0,0,3,1,2420.0
250,Chandapura,1,1,20.0,1,0,0,2,1,800.0
251,Anand Nagar,2,2,55.0,1,0,0,2,1,1060.0
252,7th Phase JP Nagar,2,2,93.0,1,0,0,2,1,1270.0
253,Shree Ananth Nagar Layout,2,2,22.5,1,0,0,2,1,900.0
254,Kundalahalli Colony,2,1,69.0,1,0,0,2,0,1280.0
255,Horamavu Agara,2,0,95.0,0,1,0,4,0,1200.0
256,Sarjapur  Road,2,2,36.0,1,0,0,2,1,1025.0
257,Electronic City,2,1,63.0,1,0,0,2,1,1108.0
258,MCECHS  layout,5,0,170.0,0,1,0,5,0,1200.0
259,Coffee Board Layout,3,2,170.0,1,0,0,3,1,3045.0
260,Ambedkar Nagar,3,2,300.0,0,1,0,4,0,2900.0
261,Vijayanagar,3,2,75.5,1,0,0,3,1,1500.0
262,Raja Rajeshwari Nagar,2,2,43.9,1,0,0,2,1,1295.0
263,Budigere,2,1,59.9,1,0,0,2,1,1162.0
264,Sarjapur  Road,2,2,49.2,1,0,0,2,1,1035.0
265,Attibele,4,0,52.8,1,0,0,4,0,1600.0
266,KUDLU MAIN ROAD,3,2,46.0,1,0,0,3,1,1464.0
267,Hennur Road,2,2,61.58,1,0,0,3,1,1866.0
268,Geleyara Balaga Layout,1,1,26.0,1,0,0,2,1,700.0
269,Kalena Agrahara,3,2,120.0,1,0,0,3,1,1804.0
270,Sarjapur,2,1,32.0,1,0,0,2,1,913.0
271,Talaghattapura,3,2,131.0,1,0,0,3,1,1868.0
272,Kengeri Satellite Town,2,1,45.0,1,0,0,2,1,883.0
273,Sundara Nagar,2,1,110.0,0,1,0,2,0,900.0
274,Kogilu,2,3,73.95,1,0,0,3,1,1664.0
275,Hegde Nagar,3,2,132.0,1,0,0,3,1,2026.0
276,Balagere,2,1,80.9,1,0,0,2,1,1210.0
277,Meenakunte,4,2,250.0,0,1,0,4,0,4111.0
278,Kadugodi,3,3,91.45,1,0,0,3,1,1762.0
279,Jigani,3,3,55.0,1,0,0,3,1,1252.0
280,Gollarapalya Hosahalli,2,1,34.5,1,0,0,2,1,861.0
281,7th Phase JP Nagar,2,1,100.0,1,0,0,3,1,1420.0
282,Srirampura,6,0,250.0,0,1,0,6,0,1450.0
283,Electronics City Phase 1,3,1,78.8,1,0,0,3,1,1490.0
284,Bisuvanahalli,2,1,46.0,1,0,0,3,1,1075.0
285,Old Madras Road,2,2,94.0,1,0,0,3,1,1425.0
286,Kalena Agrahara,2,1,40.0,1,0,0,2,1,1200.0
287,Kaggadasapura,2,2,56.0,1,0,0,3,1,1280.0
288,Silver Springs Layout,2,2,50.0,1,0,0,2,1,1084.0
289,Chandapura,2,2,25.88,1,0,0,2,1,1015.0
290,Kanakpura Road,2,1,51.25,1,0,0,2,1,1017.0
291,Haralur Road,2,2,44.0,1,0,0,2,1,1027.0
292,Electronic City Phase II,2,2,45.0,1,0,0,2,1,1069.0
293,Hebbal,2,1,98.2,1,0,0,2,1,1349.0
294,9th Phase JP Nagar,2,1,50.0,1,0,0,2,1,1005.0
295,Jakkur,2,3,75.0,1,0,0,2,1,1417.0
296,TC Palaya,3,1,98.0,0,1,0,3,0,1475.0
297,Maruthi Sevanagar,2,2,47.0,0,0,1,2,1,950.0
298,RMV 2nd Stage,4,0,120.0,1,0,0,4,1,2000.0
299,Giri Nagar,3,1,140.0,0,1,0,3,0,880.0
300,Sarjapur  Road,3,2,104.0,1,0,0,4,1,1863.0
301,Singasandra,2,1,29.5,1,0,0,2,1,1010.0
302,Kalena Agrahara,2,1,70.0,1,0,0,3,1,1425.0
303,Vijayanagar,3,0,100.0,1,0,0,3,1,1450.0
304,Kothanur,3,2,105.0,1,0,0,3,1,1847.0
305,AECS Layout,2,3,45.0,1,0,0,2,1,1100.0
306,Kanakpura Road,1,1,26.0,1,0,0,1,1,525.0
307,Mallasandra,3,2,95.0,1,0,0,3,1,1665.0
308,Begur,4,3,65.0,1,0,0,4,1,1664.0
309,JP Nagar,3,3,150.0,1,0,0,3,1,1850.0
310,Panathur,2,3,100.0,1,0,0,2,1,1438.0
311,Sunder Ram Shetty Nagar,3,3,115.0,1,0,0,3,1,1560.0
312,Yelahanka,2,1,55.55,1,0,0,2,1,1350.0
313,Kanakpura Road,3,3,67.0,1,0,0,3,1,1550.0
314,Malleshpalya,2,2,46.5,1,0,0,2,1,1140.0
315,Srirampura,5,2,180.0,0,1,0,5,0,1200.0
316,Kodathi,2,2,27.0,1,0,0,2,1,850.0
317,Whitefield,2,2,75.0,1,0,0,2,1,1280.0
318,Munnekollal,2,2,52.0,1,0,0,2,1,1170.0
319,Motappa Layout,2,1,51.0,1,0,0,2,1,1113.0
320,Hennur Road,2,1,83.09,1,0,0,2,1,1385.0
321,Electronic City,2,1,65.0,1,0,0,2,1,1128.0
322,Marathahalli,2,2,128.0,0,1,0,2,0,1200.0
323,Akshaya Vana,4,3,165.0,0,1,0,4,0,1200.0
324,Rajaji Nagar,3,2,415.0,1,0,0,3,1,2390.0
325,Giri Nagar,4,1,400.0,0,1,0,4,0,2400.0
326,Haralur Road,3,2,56.0,1,0,0,3,1,1464.0
327,Manayata Tech Park,2,2,55.0,1,0,0,2,1,1200.0
328,Kaval Byrasandra,2,2,52.0,1,0,0,2,1,1200.0
329,Kaggalipura,2,1,55.0,1,0,0,3,1,1150.0
330,Basavanna Nagar,3,2,95.0,1,0,0,3,1,1645.0
331,Sarjapur  Road,2,1,67.0,1,0,0,2,1,1000.0
332,Haralur Road,4,2,198.0,0,1,0,4,0,2650.0
333,6th Phase JP Nagar,2,2,74.0,1,0,0,2,1,1192.0
334,Ulsoor,3,2,215.0,1,0,0,3,1,2135.0
335,Whitefield,2,1,58.0,1,0,0,2,1,1173.0
336,Uttarahalli,2,2,45.0,1,0,0,2,1,1020.0
337,Thigalarapalya,6,2,230.0,1,0,0,4,1,3122.0
338,Somasundara Palya,3,3,64.0,1,0,0,3,1,1600.0
339,T.C PALYA,2,0,79.0,0,1,0,2,0,1200.0
340,Muneshwara Nagar,2,3,48.0,0,0,1,2,1,1230.0
341, Devarachikkanahalli,2,2,40.0,1,0,0,2,1,1250.0
342,Kalena Agrahara,2,2,76.0,1,0,0,2,1,1325.0
343,7th Phase JP Nagar,3,1,150.0,1,0,0,3,1,1850.0
344,Kanakpura Road,1,0,21.53,1,0,0,1,1,525.0
345,Basaveshwara Nagar,2,2,65.0,1,0,0,2,1,1200.0
346,Bull Temple Road,2,0,140.0,0,1,0,3,0,1350.0
347,Bommasandra,3,1,49.36,1,0,0,3,1,1260.0
348,Prashanth Nagar,3,0,150.0,1,0,0,3,1,1800.0
349,Suragajakkanahalli,3,2,74.0,0,1,0,3,0,11.0
350,Ardendale,2,1,43.25,1,0,0,2,1,1100.0
351,Harlur,2,1,77.0,1,0,0,2,1,1508.0
352,Sampigehalli,3,2,75.0,0,0,1,3,1,1592.0
353,Akshaya Nagar,2,3,57.0,1,0,0,2,1,1388.0
354,Electronic City Phase II,1,1,28.35,1,0,0,1,1,630.0
355,RMV,3,2,365.0,0,1,0,3,0,2000.0
356,Banashankari3rd stage bigbazar,3,1,125.0,1,0,0,3,1,1762.0
357,Bagalur Main Road,2,2,50.0,1,0,0,2,1,950.0
358,Kodihalli,5,3,335.0,1,0,0,4,1,3252.0
359,Magadi Road,2,1,50.0,1,0,0,2,1,1116.0
360,Narayanapura,2,2,89.04,1,0,0,2,1,1308.0
361,MS Pallya,3,0,90.0,1,0,0,3,1,1200.0
362,Binny Mills Employees Colony,4,2,230.0,0,1,0,4,0,1500.0
363,Bannerghatta Road,1,1,18.5,1,0,0,1,1,500.0
364,Hennur,2,1,52.0,1,0,0,2,1,1075.0
365,Chandapura,1,0,11.66,1,0,0,1,1,530.0
366,Bellandur,2,3,66.0,1,0,0,2,1,1205.0
367,5th Phase JP Nagar,2,2,60.0,1,0,0,2,1,1075.0
368,KR Puram,2,2,39.0,1,0,0,2,1,930.0
369,Balagere,2,1,60.0,1,0,0,2,1,1380.0
370,Hebbal,5,2,212.0,1,0,0,4,1,2483.0
371,Kodigehaali,2,2,55.0,1,0,0,2,1,1166.0
372,Bannerghatta Road,2,1,65.0,1,0,0,2,1,1050.0
373,Gopalapura,3,2,275.0,1,0,0,3,1,2023.71
374,Begur Road,2,2,46.8,1,0,0,2,1,1200.0
375,Lakshminarayana Pura,2,1,108.0,1,0,0,3,1,1600.0
376,Billekahalli,3,2,110.0,1,0,0,3,1,1935.0
377,8th Phase JP Nagar,1,0,29.9,1,0,0,1,1,451.0
378,Electronic City,3,2,95.0,1,0,0,3,1,1800.0
379,Jalahalli,3,0,77.0,1,0,0,3,1,1400.0
380,Hegde Nagar,3,2,115.0,1,0,0,3,1,1801.0
381,Mahadevpura,2,0,90.0,1,0,0,2,1,1451.0
382,Anekal,1,1,36.0,0,1,0,2,0,1200.0
383,Begur Road,2,2,44.0,1,0,0,2,1,1160.0
384,Kengeri,2,1,25.0,1,0,0,2,1,1000.0
385,Kanakpura Road,2,1,40.0,1,0,0,2,1,950.0
386,"Hoodi Circle, ",3,2,79.0,1,0,0,3,1,1629.0
387,Vijayanagar,2,0,134.0,1,0,0,3,1,1580.0
388,Vijayanagar,3,2,121.0,1,0,0,3,1,1826.0
389,7th Phase JP Nagar,2,1,94.0,1,0,0,2,1,1245.0
390,Raja Rajeshwari Nagar,2,2,45.79,1,0,0,2,1,1145.0
391,Sompura,2,1,33.0,1,0,0,2,1,825.0
392,Yeshwanthpur,3,3,108.0,1,0,0,3,1,1693.0
393,Electronics City Phase 1,2,2,53.0,1,0,0,2,1,1113.27
394,Ashirvad Colony,2,1,58.0,1,0,0,2,1,1460.0
395,Doddathoguru,2,1,32.0,1,0,0,2,1,1050.0
396,Dodda Nekkundi,2,2,55.0,1,0,0,2,1,1260.0
397,K N Extension,3,0,120.0,1,0,0,6,1,700.0
398,Hosur Road,2,1,120.0,1,0,0,2,1,1656.0
399,Chandapura,3,1,45.0,1,0,0,3,1,1208.0
400,Whitefield,3,2,161.0,1,0,0,3,1,1910.0
401,Whitefield,4,1,230.0,1,0,0,4,1,3252.0
402,Battarahalli,2,1,65.0,0,1,0,2,0,1200.0
403,Gokula Extension,4,1,175.0,1,0,0,4,1,1200.0
404,7th Phase JP Nagar,2,1,82.0,1,0,0,2,1,1175.0
405,Kamakshipalya,2,0,165.0,0,1,0,2,0,1000.0
406,Bannerghatta Road,2,0,125.0,0,1,0,4,0,1200.0
407,Rajaji Nagar,3,2,410.0,1,0,0,3,1,2390.0
408,Rajaji Nagar,6,3,2200.0,1,0,0,7,1,12000.0
409,Sultan Palaya,1,1,62.0,0,1,0,2,0,550.0
410,Kengeri,1,0,18.5,1,0,0,1,1,370.7896
411,Sanne Amanikere,2,0,38.0,1,0,0,2,1,1185.0
412,Kengeri,2,1,38.0,1,0,0,2,1,750.0
413,Mahalakshmi Layout,7,3,250.0,0,1,0,6,0,1200.0
414,Kanakpura Road,3,3,64.5,1,0,0,3,1,1550.0
